configure: size variance = 0.800000,1.200000
configure: width variance = 0.800000,1.600000
configure: angle variance = 0.000000,360.000000
tree: Dream Palm 1_LOD2.bin; pos=4995.32, 5.18, -4258.35; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=5002.88, 5.42, -4263.40; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=5009.86, 5.54, -4268.29; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=4982.09, 4.54, -4276.51; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=4977.55, 4.53, -4274.96; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=4963.67, 4.13, -4265.07; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=4952.86, 4.13, -4256.50; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=4825.27, 3.42, -4166.95; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=4821.68, 4.15, -4164.78; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=4818.74, 4.13, -4162.88; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=4817.31, 4.07, -4161.59; angle = 0; size = 1.0
tree: Dream Palm 6_LOD2.bin; pos=4815.71, 4.27, -4160.98; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=4812.21, 4.07, -4158.49; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=4810.30, 4.11, -4158.06; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=4807.35, 4.22, -4155.41; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=4803.31, 4.15, -4152.41; angle = 0; size = 1.0
tree: Dream Palm 3_LOD2.bin; pos=4798.14, 4.19, -4150.17; angle = 0; size = 1.0
tree: Dream Palm 4_LOD2.bin; pos=4793.61, 4.21, -4146.53; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=4789.94, 4.25, -4143.82; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=4787.77, 4.12, -4142.90; angle = 0; size = 1.0
tree: Dream Palm 1_LOD2.bin; pos=4786.35, 4.32, -4141.20; angle = 0; size = 1.0
tree: Dream Palm 2_LOD2.bin; pos=4783.69, 3.85, -4139.59; angle = 0; size = 1.0
tree: Dream Palm 5_LOD2.bin; pos=4781.38, 4.15, -4138.84; angle = 0; size = 1.0
tree: Dream Palm 7_LOD2.bin; pos=4778.70, 4.17, -4136.51; angle = 0; size = 1.0
